Year,Month,AvgTempDegF
1920,10,59.00
1920,11,39.40
1920,12,30.90
1921,1,32.10
1921,2,34.60
1921,3,48.50
1921,4,54.50
1921,5,64.20
1921,6,75.80
1921,7,79.80
1921,8,72.00
1921,9,70.30
1921,10,53.60
1921,11,42.00
1921,12,33.70
1922,1,24.50
1922,2,31.70
1922,3,41.90
1922,4,52.70
1922,5,65.40
1922,6,72.80
1922,7,73.40
1922,8,72.70
1922,9,69.50
1922,10,56.20
1922,11,42.70
1922,12,30.80
1923,1,31.50
1923,2,24.20
1923,3,36.90
1923,4,48.70
1923,5,59.60
1923,6,71.60
1923,7,74.60
1923,8,71.80
1923,9,65.30
1923,10,50.40
1923,11,41.40
1923,12,39.50
1924,1,20.80
1924,2,28.40
1924,3,33.80
1924,4,51.70
1924,5,54.40
1924,6,68.60
1924,7,71.10
1924,8,71.90
1924,9,60.90
1924,10,58.30
1924,11,40.90
1924,12,24.80
1925,1,25.40
1925,2,36.30
1925,3,41.80
1925,4,56.30
1925,5,57.80
1925,6,74.00
1925,7,74.40
1925,8,72.90
1925,9,72.50
1925,10,44.80
1925,11,38.20
1925,12,26.70
1926,1,26.90
1926,2,32.70
1926,3,32.80
1926,4,44.20
1926,5,63.20
1926,6,66.70
1926,7,76.10
1926,8,74.60
1926,9,66.90
1926,10,53.30
1926,11,36.90
1926,12,27.40
1927,1,24.80
1927,2,37.40
1927,3,42.70
1927,4,51.20
1927,5,59.90
1927,6,65.90
1927,7,73.40
1927,8,66.40
1927,9,69.70
1927,10,57.30
1927,11,44.40
1927,12,28.60
1928,1,26.80
1928,2,30.20
1928,3,38.30
1928,4,46.10
1928,5,60.50
1928,6,65.10
1928,7,74.10
1928,8,73.50
1928,9,61.00
1928,10,56.30
1928,11,41.00
1928,12,32.70
1929,1,22.40
1929,2,23.30
1929,3,46.00
1929,4,53.80
1929,5,58.30
1929,6,67.90
1929,7,74.50
1929,8,70.60
1929,9,65.10
1929,10,51.20
1929,11,36.00
1929,12,28.60
1930,1,21.60
1930,2,39.20
1930,3,38.20
1930,4,53.50
1930,5,62.80
1930,6,70.30
1930,7,76.50
1930,8,74.10
1930,9,67.50
1930,10,51.60
1930,11,41.00
1930,12,29.70
1931,1,31.20
1931,2,35.90
1931,3,34.80
1931,4,51.60
1931,5,58.30
1931,6,73.40
1931,7,77.80
1931,8,73.10
1931,9,71.00
1931,10,57.00
1931,11,48.90
1931,12,38.10
1932,1,35.60
1932,2,37.30
1932,3,32.40
1932,4,51.00
1932,5,62.20
1932,6,72.30
1932,7,76.10
1932,8,73.10
1932,9,64.70
1932,10,53.00
1932,11,35.10
1932,12,29.90
1933,1,36.70
1933,2,29.10
1933,3,38.40
1933,4,50.60
1933,5,64.10
1933,6,77.00
1933,7,77.50
1933,8,72.10
1933,9,71.40
1933,10,52.10
1933,11,39.00
1933,12,34.80
1934,1,32.20
1934,2,23.00
1934,3,35.30
1934,4,50.80
1934,5,65.60
1934,6,77.30
1934,7,80.10
1934,8,72.80
1934,9,64.60
1934,10,55.40
1934,11,44.30
1934,12,27.40
1935,1,29.00
1935,2,32.10
1935,3,46.50
1935,4,48.10
1935,5,56.60
1935,6,67.30
1935,7,77.20
1935,8,74.40
1935,9,65.20
1935,10,53.90
1935,11,39.50
1935,12,23.80
1936,1,19.80
1936,2,20.00
1936,3,42.60
1936,4,46.60
1936,5,64.80
1936,6,71.60
1936,7,81.80
1936,8,78.80
1936,9,69.40
1936,10,53.20
1936,11,36.80
1936,12,33.50
1937,1,30.00
1937,2,29.10
1937,3,35.90
1937,4,49.50
1937,5,62.00
1937,6,70.00
1937,7,73.60
1937,8,75.50
1937,9,63.70
1937,10,50.80
1937,11,36.50
1937,12,27.00
1938,1,27.00
1938,2,37.50
1938,3,46.30
1938,4,53.00
1938,5,61.10
1938,6,69.20
1938,7,75.20
1938,8,75.00
1938,9,67.70
1938,10,57.30
1938,11,43.00
1938,12,30.80
1939,1,32.70
1939,2,30.00
1939,3,41.70
1939,4,47.30
1939,5,64.50
1939,6,72.60
1939,7,74.40
1939,8,72.10
1939,9,71.10
1939,10,56.10
1939,11,39.10
1939,12,33.70
1940,1,13.40
1940,2,29.60
1940,3,36.30
1940,4,48.20
1940,5,58.00
1940,6,71.50
1940,7,75.10
1940,8,74.50
1940,9,64.00
1940,10,57.40
1940,11,38.60
1940,12,35.20
1941,1,28.80
1941,2,26.10
1941,3,34.80
1941,4,55.90
1941,5,64.80
1941,6,71.40
1941,7,75.20
1941,8,73.60
1941,9,69.10
1941,10,57.40
1941,11,42.30
1941,12,36.50
1942,1,27.00
1942,2,26.80
1942,3,42.20
1942,4,55.20
1942,5,62.40
1942,6,71.30
1942,7,75.50
1942,8,71.80
1942,9,64.10
1942,10,54.40
1942,11,43.30
1942,12,25.70
1943,1,27.60
1943,2,32.40
1943,3,36.00
1943,4,48.80
1943,5,61.10
1943,6,74.70
1943,7,75.60
1943,8,74.50
1943,9,61.60
1943,10,52.90
1943,11,36.60
1943,12,27.50
1944,1,31.30
1944,2,32.10
1944,3,35.90
1944,4,49.20
1944,5,67.20
1944,6,74.70
1944,7,75.30
1944,8,73.60
1944,9,66.20
1944,10,53.30
1944,11,42.30
1944,12,23.90
1945,1,22.00
1945,2,31.70
1945,3,50.50
1945,4,52.50
1945,5,57.00
1945,6,68.00
1945,7,72.50
1945,8,72.20
1945,9,66.90
1945,10,51.80
1945,11,41.10
1945,12,23.40
1946,1,28.20
1946,2,32.60
1946,3,51.70
1946,4,53.30
1946,5,58.80
1946,6,70.70
1946,7,74.60
1946,8,68.40
1946,9,65.20
1946,10,57.60
1946,11,44.20
1946,12,34.70
1947,1,31.30
1947,2,22.20
1947,3,32.40
1947,4,50.40
1947,5,58.00
1947,6,68.10
1947,7,70.60
1947,8,78.90
1947,9,66.20
1947,10,60.90
1947,11,35.80
1947,12,31.20
1948,1,20.70
1948,2,29.90
1948,3,40.40
1948,4,54.90
1948,5,59.80
1948,6,71.10
1948,7,74.60
1948,8,72.70
1948,9,66.90
1948,10,50.80
1948,11,44.90
1948,12,33.60
1949,1,32.20
1949,2,33.20
1949,3,40.10
1949,4,50.10
1949,5,63.20
1949,6,73.60
1949,7,78.40
1949,8,73.00
1949,9,60.40
1949,10,58.10
1949,11,41.50
1949,12,35.00
1950,1,35.50
1950,2,30.00
1950,3,35.60
1950,4,45.20
1950,5,63.40
1950,6,69.20
1950,7,72.00
1950,8,69.90
1950,9,64.20
1950,10,58.30
1950,11,34.70
1950,12,21.90
1951,1,28.40
1951,2,29.60
1951,3,36.80
1951,4,47.80
1951,5,63.50
1951,6,69.20
1951,7,73.70
1951,8,71.30
1951,9,62.70
1951,10,56.50
1951,11,33.50
1951,12,29.20
1952,1,31.20
1952,2,34.60
1952,3,38.50
1952,4,51.50
1952,5,60.80
1952,6,76.40
1952,7,77.00
1952,8,71.90
1952,9,65.40
1952,10,49.30
1952,11,42.00
1952,12,33.60
1953,1,31.70
1953,2,34.90
1953,3,41.00
1953,4,47.50
1953,5,64.00
1953,6,76.10
1953,7,75.50
1953,8,73.60
1953,9,66.90
1953,10,57.80
1953,11,42.40
1953,12,31.80
1954,1,29.10
1954,2,38.70
1954,3,36.60
1954,4,56.10
1954,5,57.60
1954,6,75.30
1954,7,77.60
1954,8,73.40
1954,9,69.50
1954,10,55.30
1954,11,40.80
1954,12,31.50
1955,1,26.40
1955,2,30.60
1955,3,39.80
1955,4,57.20
1955,5,63.20
1955,6,66.60
1955,7,79.30
1955,8,75.80
1955,9,68.50
1955,10,54.20
1955,11,37.00
1955,12,27.20
1956,1,26.30
1956,2,31.90
1956,3,39.80
1956,4,48.60
1956,5,62.30
1956,6,72.00
1956,7,73.10
1956,8,72.60
1956,9,64.20
1956,10,59.80
1956,11,40.50
1956,12,36.20
1957,1,21.30
1957,2,35.50
1957,3,39.60
1957,4,52.20
1957,5,62.00
1957,6,71.40
1957,7,74.90
1957,8,72.70
1957,9,63.90
1957,10,50.50
1957,11,40.10
1957,12,35.10
1958,1,27.50
1958,2,22.60
1958,3,35.20
1958,4,51.70
1958,5,60.80
1958,6,66.40
1958,7,72.70
1958,8,71.90
1958,9,65.60
1958,10,54.30
1958,11,43.30
1958,12,22.50
1959,1,22.90
1959,2,30.40
1959,3,38.50
1959,4,52.00
1959,5,66.00
1959,6,71.70
1959,7,74.20
1959,8,76.40
1959,9,67.80
1959,10,53.50
1959,11,35.20
1959,12,35.40
1960,1,29.50
1960,2,27.10
1960,3,24.70
1960,4,54.90
1960,5,58.40
1960,6,69.10
1960,7,72.20
1960,8,73.90
1960,9,70.20
1960,10,54.00
1960,11,42.20
1960,12,24.60
1961,1,23.50
1961,2,33.60
1961,3,42.90
1961,4,45.70
1961,5,56.70
1961,6,68.50
1961,7,73.70
1961,8,71.60
1961,9,69.80
1961,10,55.80
1961,11,41.00
1961,12,28.70
1962,1,22.20
1962,2,30.20
1962,3,36.20
1962,4,49.60
1962,5,68.40
1962,6,71.60
1962,7,72.40
1962,8,71.80
1962,9,62.70
1962,10,56.50
1962,11,40.70
1962,12,25.20
1963,1,17.50
1963,2,20.70
1963,3,42.60
1963,4,53.60
1963,5,59.90
1963,6,71.60
1963,7,72.90
1963,8,69.20
1963,9,64.80
1963,10,61.40
1963,11,43.90
1963,12,17.80
1964,1,29.60
1964,2,28.30
1964,3,38.60
1964,4,53.40
1964,5,65.70
1964,6,72.70
1964,7,74.30
1964,8,71.20
1964,9,65.90
1964,10,50.50
1964,11,44.70
1964,12,29.70
1965,1,27.00
1965,2,28.00
1965,3,32.30
1965,4,52.50
1965,5,67.60
1965,6,70.30
1965,7,72.00
1965,8,70.20
1965,9,66.60
1965,10,52.90
1965,11,43.20
1965,12,36.70
1966,1,21.80
1966,2,28.80
1966,3,41.40
1966,4,48.50
1966,5,56.90
1966,6,70.50
1966,7,77.30
1966,8,70.60
1966,9,63.20
1966,10,50.20
1966,11,42.40
1966,12,30.90
1967,1,29.40
1967,2,25.20
1967,3,41.40
1967,4,53.30
1967,5,57.20
1967,6,71.70
1967,7,71.60
1967,8,68.30
1967,9,62.50
1967,10,52.90
1967,11,36.90
1967,12,32.40
1968,1,22.70
1968,2,24.60
1968,3,41.30
1968,4,52.20
1968,5,57.80
1968,6,71.70
1968,7,74.40
1968,8,73.30
1968,9,65.20
1968,10,53.70
1968,11,41.60
1968,12,29.20
1969,1,23.10
1969,2,30.20
1969,3,33.90
1969,4,52.20
1969,5,62.00
1969,6,68.70
1969,7,75.40
1969,8,71.80
1969,9,64.60
1969,10,53.10
1969,11,37.50
1969,12,28.10
1970,1,17.70
1970,2,27.40
1970,3,36.40
1970,4,52.90
1970,5,64.60
1970,6,69.80
1970,7,73.60
1970,8,72.10
1970,9,68.80
1970,10,54.60
1970,11,39.80
1970,12,33.10
1971,1,22.20
1971,2,28.50
1971,3,36.00
1971,4,50.30
1971,5,58.00
1971,6,74.50
1971,7,71.20
1971,8,69.90
1971,9,68.50
1971,10,61.10
1971,11,42.00
1971,12,37.60
1972,1,25.00
1972,2,27.30
1972,3,38.80
1972,4,49.80
1972,5,63.70
1972,6,66.70
1972,7,73.30
1972,8,72.00
1972,9,67.10
1972,10,50.50
1972,11,38.20
1972,12,29.00
1973,1,29.30
1973,2,30.80
1973,3,47.80
1973,4,50.40
1973,5,58.20
1973,6,71.90
1973,7,75.00
1973,8,73.10
1973,9,68.00
1973,10,58.40
1973,11,43.60
1973,12,29.20
1974,1,27.80
1974,2,30.70
1974,3,43.00
1974,4,53.10
1974,5,60.10
1974,6,66.80
1974,7,75.60
1974,8,71.70
1974,9,60.50
1974,10,52.10
1974,11,41.90
1974,12,32.30
1975,1,30.60
1975,2,29.70
1975,3,35.80
1975,4,47.50
1975,5,64.70
1975,6,71.50
1975,7,73.00
1975,8,74.70
1975,9,61.40
1975,10,55.40
1975,11,46.30
1975,12,32.40
1976,1,22.90
1976,2,37.60
1976,3,46.10
1976,4,53.40
1976,5,58.10
1976,6,70.30
1976,7,73.10
1976,8,69.50
1976,9,62.50
1976,10,48.10
1976,11,33.20
1976,12,23.50
1977,1,8.90
1977,2,26.80
1977,3,44.90
1977,4,56.20
1977,5,68.60
1977,6,69.20
1977,7,76.90
1977,8,71.50
1977,9,67.50
1977,10,51.00
1977,11,42.80
1977,12,25.70
1978,1,15.80
1978,2,15.10
1978,3,32.40
1978,4,51.80
1978,5,59.10
1978,6,71.40
1978,7,74.20
1978,8,71.80
1978,9,69.00
1978,10,51.70
1978,11,44.30
1978,12,31.70
1979,1,15.00
1979,2,16.90
1979,3,40.60
1979,4,48.60
1979,5,60.30
1979,6,71.00
1979,7,71.90
1979,8,71.60
1979,9,64.90
1979,10,53.50
1979,11,40.70
1979,12,33.70
1980,1,27.30
1980,2,22.20
1980,3,35.20
1980,4,48.40
1980,5,62.80
1980,6,68.70
1980,7,77.90
1980,8,76.10
1980,9,67.30
1980,10,50.90
1980,11,39.90
1980,12,30.80
1981,1,22.60
1981,2,30.90
1981,3,39.20
1981,4,56.00
1981,5,57.60
1981,6,72.60
1981,7,74.30
1981,8,71.30
1981,9,64.00
1981,10,51.50
1981,11,43.20
1981,12,26.60
1982,1,17.60
1982,2,24.50
1982,3,39.60
1982,4,45.80
1982,5,66.80
1982,6,66.00
1982,7,74.60
1982,8,69.80
1982,9,64.30
1982,10,54.50
1982,11,43.00
1982,12,39.40
1983,1,29.10
1983,2,34.00
1983,3,41.20
1983,4,47.20
1983,5,58.10
1983,6,71.50
1983,7,78.20
1983,8,77.30
1983,9,66.30
1983,10,55.10
1983,11,44.50
1983,12,18.60
1984,1,20.90
1984,2,35.90
1984,3,30.90
1984,4,49.10
1984,5,58.50
1984,6,74.60
1984,7,71.70
1984,8,73.30
1984,9,63.60
1984,10,58.70
1984,11,40.60
1984,12,37.20
1985,1,19.40
1985,2,24.70
1985,3,44.20
1985,4,56.50
1985,5,63.70
1985,6,68.80
1985,7,73.10
1985,8,70.20
1985,9,66.30
1985,10,57.00
1985,11,45.20
1985,12,21.80
1986,1,28.00
1986,2,29.60
1986,3,42.40
1986,4,54.30
1986,5,63.10
1986,6,72.20
1986,7,76.90
1986,8,68.80
1986,9,68.60
1986,10,54.70
1986,11,38.70
1986,12,31.70
1987,1,25.80
1987,2,33.90
1987,3,43.80
1987,4,51.60
1987,5,67.70
1987,6,73.10
1987,7,75.50
1987,8,73.50
1987,9,66.80
1987,10,47.40
1987,11,45.80
1987,12,34.80
1988,1,23.80
1988,2,26.30
1988,3,40.50
1988,4,51.00
1988,5,63.60
1988,6,72.60
1988,7,76.60
1988,8,76.80
1988,9,66.20
1988,10,47.20
1988,11,42.60
1988,12,30.20
1989,1,34.80
1989,2,25.50
1989,3,40.60
1989,4,50.10
1989,5,58.10
1989,6,70.60
1989,7,74.70
1989,8,71.80
1989,9,62.90
1989,10,54.70
1989,11,41.00
1989,12,17.60
1990,1,36.70
1990,2,36.60
1990,3,44.80
1990,4,50.20
1990,5,59.00
